sentiment,tweet
neg,ok their mom will kill me مرة قلتيل ترب قلتل انا رب قعد eyes see-no-evil_monkey face_with_tears_of_joy smiling_face_with_heart-eyes
neg,جمع لين خسر كيلو خصئ سها سعد كمم حرم ledger pushpin
neg,اهل نهم دخل شفى امل مد شهر عش طلع قتل اقل ريض قتل
neg,سهر عش اتر اصل new_moon_face
neg,صبح ھتف فرق يدي أنھ عطى شعر حبھم قبض يد بدأ
neg,شار قول رأي تقل نتا فا عش دهي رأي person_walking
neg,صحح جبر بقء رحل pensive_face
neg,هلل لي عرف برا جاي تقل همي يم اهم ويل زور وتر
neg,بو وذ لاف صلت ملي سعة flushed_face face_with_tears_of_joy
neg,حس كثر احر يد يسر سوء خلق face_vomiting face_with_medical_mask
neg,رب جد loudly_crying_face
neg,عبدالل الل ريتو صدق امي ليل اطر كف دعى رحم وني الل
neg,لعب دية نحر دهى شرط وضع سم سلم thumbs_down thinking_face
neg,اعن الل قلب احب صدق خذل backhand_index_pointing_leftlight_skin_tone broken_heart
neg,دخل ملي اخر دقق loudly_crying_face
neg,سته ناس لي هنهار سبب هتشل تزد وضع صعب الل pensive_face
neg,رسل عوز اكن وحد broken_heart
neg,سرع سن ارخ broken_heart
neg,خاذلو weary_face
neg,مش قصص سير عرس خير كوى رسي الل هدى جمع
neg,أخر سمح احن جيع broken_heart
neg,كحل بدء ثني حمدلل new_moon_face
neg,اعند pensive_face
neg,ذكرو رئس بشر ايك ياخ دهي رئس فات thinking_face face_with_tears_of_joy face_with_tears_of_joy fire victory_handlight_skin_tone
neg,هين نزل لسة جرب new_moon_face
neg,تشك رشح ايض الل كفى شره خلو رفش كف pushpin
neg,بغى هالاجواء جمل tired_face
neg,امت عرف مان هيجيب جون سدس thinking_face
neg,ايس ريم مباكلش ايس ريم بقل كرى ربع سن crying_face crying_face loudly_crying_face
neg,اين سبل وصل دل broken_heart
neg,نبغ رجل كون حكر مرأ وحد جرم روع حق رجل unamused_face
neg,ناس دمن اغا ونا دمن sleeping_face
neg,حن شقى ايج زون ثلث pensive_face
neg,امن broken_heart
neg,ازل انا أبد ماتغير قدم طيب صف pensive_face
neg,وفق جمع تبع تبع BACK_arrow victory_hand
neg,يستاهلونه قلل حق unamused_face
neg,للا دا اشع ساي ادو بره unamused_face
neg,كنت دور فتر لي فات سبب خلى كأب حمدلل قات هرد victory_hand face_with_tears_of_joy face_with_tears_of_joy
neg,نهى خرب نبت ارض عمر جدد cherry_blossom red_heart broken_heart
neg,اقل قلقاس زعل جد face_with_tears_of_joy broken_heart broken_heart
neg,صبح خير ليتو صرح انا حد عبر raised_hand beaming_face_with_smiling_eyes
neg,غررد حمار قئل رآهم رسل الل رسل الل قوم ترى اقل سحق سحق weary_face
neg,رجو مشيش انا شوف بصل حس بام رجو ماش عوز شعر دهي اضع منة broken_heart
neg,ودد امر جطت دا حصل confused_face
neg,غلط كنت حط هذي loudly_crying_face
neg,خاش طعن عدو عرف ضعف خشا طعن صدق كثر شخص خبر broken_heart
neg,اسأ لحظ بحة broken_heart
neg,عب اعند رصد حمل disappointed_face
neg,الل الل قلة دبى مالقيو ال وقت رمض روح نحس رمض جوئ tired_face
neg,تقل ام فعل ونى اخذ هتف كي ضعف الآ رفض صلح loudly_crying_face
neg,عرف افا افا new_moon_face
neg,قرفو صبح loudly_crying_face
neg,قرب عنى حمس weary_face
neg,طاف ديو بصح loudly_crying_face
neg,اهي خطة حصل جنس loudly_crying_face
neg,يل لعب frog
neg,كتبل حرف مضم عزيم اخر لهن عبر كور ضرب قيم وخر دقيق انم لك نتا face_screaming_in_fear
